2	3	4
m86	MANNING	Oooh!! Who was here? Nixon? Houdini? You mind sharing your mystic insights?
m86	ABE	They were over here, Professor.
m86	ABE	Don't worry about fingerprints. I never had any.
m86	MANNING	Is he serious??
m86	ABE	The past, the future, whatever this object holds.
m86	MANNING	See what??
m86	ABE	"I need to touch it to see""..."
m86	ABE	Oh right --
m86	HELLBOY	Rotten eggs and the safety of mankind.
m86	ABE	Remind me why I keep doing this.
m86	HELLBOY	Didn't even buy me a drink.
m86	ABE	Touched you five seconds. Laid three eggs.
m86	HELLBOY	I dunno maybe five seconds -- ow!
m86	ABE	Red. How long was it latched onto you?
m86	HELLBOY	I'm lucky that way.
m86	ABE	You were burned by some organic acid.
m86	ABE	No listen this: Sammael the desolate one lord of the shadows son of Nergal --
m86	HELLBOY	Nah -- he's taken care of.
m86	ABE	Red I found something --
m86	HELLBOY	Hey. Stinky. Kitchen's closed.  Whatcha havin'? Six library guards raw? Plus belts and boots? Man you're gonna need some heavy fiber to move that out --
m86	ABE	Behind this door. A dark entity -- Evil ancient and hungry.
m86	HELLBOY	Would'ya look at this babies? Made 'em myself. Holy water silver shavings white oak: the works.
m86	HELLBOY	We don't take hints.
m86	ABE	Liz left us Red. Take the hint.
m86	HELLBOY	How am I ever gonna get a girl?? I drive around in a garbage truck
m86	ABE	Nothing psychic about it. You're easy.
m86	HELLBOY	Don't get psychic with me.
m86	ABE	You mean outside... with her.
m86	HELLBOY	I break it they see us Happy Halloween. No more hiding.  Outside. I could be outside --
m86	ABE	Story of my life.
m86	HELLBOY	Look at them ugly suckers Blue. One sheet of glass between them and us.
m86	ABE'S VOICE	It doesn't say --
m86	HELLBOY	Skip to the end willya?  How do I kill it -- ?
m86	ABE'S VOICE	harbinger of pestilence seed of destruction --
m86	ABE'S VOICE	-- Hound of resurrection?
m86	HELLBOY	See? I don't like that --
m86	ABE'S VOICE	hound of resurrection --
m86	ABE'S VOICE	Red -- you need to hear the rest of the information --
m86	HELLBOY	That's all for you Sammy.
m86	WHITMAN	From where??!!
m86	BROOM	Cordon off the area. Something came through.
m86	WHITMAN	Air and sea backup. What's closest?
m86	BROOM	If he's here this is worse than I thought.
m86	BROOM	Karl Ruprecht Kroenen one of the Reich's top Scientists. Head of the Thule Occult Society.
m86	WHITMAN	The freak in the gas mask --
m86	WHITMAN	Oh I'll bet you have.
m86	BROOM	I have seen ghosts Whitman.
m86	WHITMAN	Half transmission. Nonsense -- German ghost stories!
m86	BROOM	"Paranormal""""  But -- you read the transmission."
m86	WHITMAN	What a load of crap. Hell a week ago I hadn't even heard the word parabnormal --
m86	BROOM	Ruins. Not rocks. The remains of Trondham Abbey. Built on an intersection of Ley Lines the boundaries between our world and the other --
m86	WHITMAN	You're wasting our time: There's nothing on this island but sheep and rocks.
